DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-May-2025,EQ,"723.95","732.80","720.80","727.60","721.60","722.55","725.21","740.20","577.85",2751553,"1,99,54,40,608.10",53487
13-May-2025,EQ,"738.00","738.00","725.10","738.10","727.00","727.60","729.09","740.20","577.85",2720588,"1,98,35,65,030.40",60252
12-May-2025,EQ,"734.95","739.00","726.90","723.30","738.10","738.10","733.69","740.20","577.85",1515956,"1,11,22,44,498.20",41631
09-May-2025,EQ,"712.00","725.00","712.00","719.55","721.00","723.30","720.55","740.20","518.25",2511756,"1,80,98,50,389.90",61910
08-May-2025,EQ,"740.00","740.20","716.60","736.35","718.00","719.55","725.64","740.20","518.25",3195214,"2,31,85,88,418.35",92978
07-May-2025,EQ,"707.00","737.50","707.00","720.10","734.15","736.35","732.39","737.50","518.25",3995818,"2,92,64,99,559.60",77433
06-May-2025,EQ,"722.65","727.70","713.55","722.65","720.90","720.10","718.95","736.90","518.25",2063870,"1,48,38,17,309.25",53075
05-May-2025,EQ,"709.80","735.85","709.75","697.75","726.35","722.65","724.11","736.90","518.25",8525971,"6,17,37,01,252.40",123847
02-May-2025,EQ,"708.05","713.00","696.00","710.45","698.50","697.75","703.61","736.90","510.45",1352659,"95,17,51,126.35",53770
30-Apr-2025,EQ,"710.85","722.80","706.55","711.35","709.00","710.45","712.60","736.90","510.45",2215886,"1,57,90,48,169.25",54260
29-Apr-2025,EQ,"715.45","723.95","709.95","715.45","710.25","711.35","715.58","736.90","510.45",1846949,"1,32,16,45,994.15",47104
28-Apr-2025,EQ,"707.70","722.25","705.60","710.40","715.05","715.45","717.15","736.90","510.45",2393391,"1,71,64,14,968.30",48495
25-Apr-2025,EQ,"717.30","722.30","706.20","712.75","710.00","710.40","712.28","736.90","503.15",1566764,"1,11,59,69,419.60",57868
24-Apr-2025,EQ,"716.80","722.80","705.45","716.55","712.60","712.75","714.07","736.90","503.15",2663875,"1,90,22,04,770.95",55508
23-Apr-2025,EQ,"710.95","719.40","707.10","709.15","715.00","716.55","712.70","736.90","503.15",2282463,"1,62,67,03,674.65",57094
22-Apr-2025,EQ,"698.90","716.40","694.10","695.15","709.90","709.15","706.80","736.90","503.15",2138487,"1,51,14,85,363.25",50868
21-Apr-2025,EQ,"714.80","714.80","694.10","714.80","695.15","695.15","700.75","736.90","503.15",2702126,"1,89,35,21,891.55",85557
